::1 - - [15/May/2025:20:22:29 +0000] "GET /api/auth/me?getFullData=false HTTP/1.1" 304 -
::1 - - [15/May/2025:20:22:29 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:22:39 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:22:39 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:22:39 +0000] "GET /api/auth/me?getFullData=false HTTP/1.1" 304 -
::1 - - [15/May/2025:20:22:59 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:22:59 +0000] "GET /api/auth/me?getFullData=false HTTP/1.1" 304 -
::1 - - [15/May/2025:20:22:59 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:23:03 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:23:03 +0000] "GET /api/auth/me?getFullData=false HTTP/1.1" 304 -
::1 - - [15/May/2025:20:23:03 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:23:49 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:23:49 +0000] "GET /api/auth/me?getFullData=false HTTP/1.1" 304 -
::1 - - [15/May/2025:20:23:49 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:31:26 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:31:26 +0000] "GET /api/auth/me?getFullData=false HTTP/1.1" 304 -
::1 - - [15/May/2025:20:31:26 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:34:24 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:34:24 +0000] "GET /api/auth/me?getFullData=false HTTP/1.1" 304 -
::1 - - [15/May/2025:20:34:24 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:34:46 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:34:46 +0000] "GET /api/rooms/my HTTP/1.1" 304 -
::1 - - [15/May/2025:20:34:47 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:34:47 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:34:47 +0000] "GET /api/auth/me?getFullData=false HTTP/1.1" 304 -
::1 - - [15/May/2025:20:34:49 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:34:49 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:35:38 +0000] "GET /api/auth/me?getFullData=false HTTP/1.1" 304 -
::1 - - [15/May/2025:20:35:38 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:35:38 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:35:45 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74?cursor=7d6b2bee-69ff-4791-b3b6-faaf2607a2b2 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:35:54 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:35:54 +0000] "GET /api/auth/me?getFullData=false HTTP/1.1" 304 -
::1 - - [15/May/2025:20:35:54 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:36:29 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:36:29 +0000] "GET /api/auth/me?getFullData=false HTTP/1.1" 304 -
::1 - - [15/May/2025:20:36:29 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:36:32 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:36:32 +0000] "GET /api/rooms/my HTTP/1.1" 304 -
::1 - - [15/May/2025:20:36:33 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:36:33 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:36:34 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:36:34 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:37:45 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:37:45 +0000] "GET /api/auth/me?getFullData=false HTTP/1.1" 304 -
::1 - - [15/May/2025:20:37:45 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:39:27 +0000] "GET /api/auth/me?getFullData=false HTTP/1.1" 200 1231
::1 - - [15/May/2025:20:39:38 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 200 1231
::1 - - [15/May/2025:20:39:38 +0000] "GET /api/auth/me?getFullData=false HTTP/1.1" 304 -
::1 - - [15/May/2025:20:39:38 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 200 22757
::1 - - [15/May/2025:20:39:44 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:39:44 +0000] "GET /api/rooms/my HTTP/1.1" 304 -
::1 - - [15/May/2025:20:39:45 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:39:45 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:39:45 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:39:46 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:39:50 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:39:51 +0000] "GET /api/rooms/my HTTP/1.1" 304 -
::1 - - [15/May/2025:20:39:51 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:39:51 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:39:51 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:39:51 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:40:22 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:40:22 +0000] "GET /api/auth/me?getFullData=false HTTP/1.1" 304 -
::1 - - [15/May/2025:20:40:23 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:40:47 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:40:47 +0000] "GET /api/auth/me?getFullData=false HTTP/1.1" 304 -
::1 - - [15/May/2025:20:40:47 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:41:04 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 200 1231
::1 - - [15/May/2025:20:41:04 +0000] "GET /api/auth/me?getFullData=false HTTP/1.1" 304 -
::1 - - [15/May/2025:20:41:04 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:41:26 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:41:26 +0000] "GET /api/auth/me?getFullData=false HTTP/1.1" 304 -
::1 - - [15/May/2025:20:41:26 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:41:51 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:41:51 +0000] "GET /api/auth/me?getFullData=false HTTP/1.1" 304 -
::1 - - [15/May/2025:20:41:51 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:42:32 +0000] "GET /api/auth/me?getFullData=false HTTP/1.1" 304 -
::1 - - [15/May/2025:20:42:32 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:42:32 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 200 22400
::1 - - [15/May/2025:20:43:02 +0000] "GET /api/auth/me?getFullData=false HTTP/1.1" 304 -
::1 - - [15/May/2025:20:43:02 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:43:02 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:43:28 +0000] "GET /api/auth/me?getFullData=false HTTP/1.1" 304 -
::1 - - [15/May/2025:20:43:28 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:43:29 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:44:36 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:44:36 +0000] "GET /api/auth/me?getFullData=false HTTP/1.1" 304 -
::1 - - [15/May/2025:20:44:36 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 200 22065
::1 - - [15/May/2025:20:45:38 +0000] "GET /api/auth/me?getFullData=false HTTP/1.1" 304 -
::1 - - [15/May/2025:20:45:41 +0000] "GET /api/auth/me?getFullData=false HTTP/1.1" 304 -
::1 - - [15/May/2025:20:45:53 +0000] "GET /api/auth/me?getFullData=false HTTP/1.1" 304 -
::1 - - [15/May/2025:20:46:16 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 200 1330
::1 - - [15/May/2025:20:46:17 +0000] "GET /api/auth/me?getFullData=false HTTP/1.1" 200 1330
::1 - - [15/May/2025:20:46:17 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 200 21736
::1 - - [15/May/2025:20:46:31 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:46:31 +0000] "GET /api/auth/me?getFullData=false HTTP/1.1" 304 -
::1 - - [15/May/2025:20:46:31 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 200 22840
::1 - - [15/May/2025:20:49:04 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:49:04 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:49:04 +0000] "GET /api/auth/me?getFullData=false HTTP/1.1" 304 -
::1 - - [15/May/2025:20:49:04 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 200 23074
::1 - - [15/May/2025:20:49:04 +0000] "GET /api/auth/me?getFullData=false HTTP/1.1" 304 -
::1 - - [15/May/2025:20:49:04 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 200 23074
::1 - - [15/May/2025:20:49:29 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:49:29 +0000] "GET /api/auth/me?getFullData=false HTTP/1.1" 304 -
::1 - - [15/May/2025:20:49:29 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 200 22736
::1 - - [15/May/2025:20:50:10 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:50:10 +0000] "GET /api/auth/me?getFullData=false HTTP/1.1" 304 -
::1 - - [15/May/2025:20:50:10 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 200 23072
::1 - - [15/May/2025:20:50:48 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:50:48 +0000] "GET /api/auth/me?getFullData=false HTTP/1.1" 304 -
::1 - - [15/May/2025:20:50:48 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 200 22735
